observation_stable_id	pubmed_id
OB_001705	18006689
OB_001706	18006689
OB_001707	18006689
OB_001708	18006689
OB_001709	18006689
OB_000170	18340043
OB_001710	18006689
OB_001711	15998808
OB_001712	18006689
OB_001713	18006689
OB_001714	18006689
OB_001715	18006689
OB_001716	18006689
OB_001717	18006689
OB_001718	18006689
OB_001719	18006689
OB_000171	18340043
OB_001720	18006689
OB_001721	18006689
OB_001722	15998808
OB_001723	18006689
OB_001724	18006689
OB_001725	18006689
OB_001726	18006689
OB_001727	18006689
OB_001728	18006689
OB_001729	18006689
OB_000172	18340043
OB_001730	18006689
OB_001731	18006689
OB_001732	18006689
OB_001733	15998808
OB_001734	18006689
OB_001735	18006689
OB_001736	18006689
OB_001737	18006689
OB_001738	18006689
OB_001739	18006689
OB_000173	18340043
OB_001740	18006689
OB_001741	18006689
OB_001742	18006689
OB_001743	18006689
OB_001744	15998808
OB_001745	18006689
OB_001746	18006689
OB_001747	18006689
OB_001748	18006689
OB_001749	18006689
OB_000174	18340043
OB_001750	18006689
OB_001751	18006689
OB_001752	18006689
OB_001753	18006689
OB_001754	18006689
OB_001755	15998808
OB_001756	18006689
OB_001757	18006689
OB_001758	18006689
OB_001759	18006689
OB_000175	18340043
OB_001760	18006689
OB_001761	18006689
OB_001762	18006689
OB_001763	18006689
OB_001764	18006689
OB_001765	18006689
OB_001766	15998808
OB_001767	18006689
OB_001768	18006689
OB_001769	18006689
OB_000176	18340043
OB_001770	18006689
OB_001771	18006689
OB_001772	18006689
OB_001773	18006689
OB_001774	18006689
OB_001775	18006689
OB_001776	18006689
OB_001777	15998808
OB_001778	11292860
OB_001779	18006689
OB_000177	18340043
OB_001780	18006689
OB_001781	18006689
OB_001782	18006689
OB_001783	18006689
OB_001784	18006689
OB_001785	18006689
OB_001786	18006689
OB_001787	18006689
OB_001788	18006689
OB_001789	15998808
OB_000178	18340043
OB_001790	18006689
OB_001791	18006689
OB_001792	18006689
OB_001793	18006689
OB_001794	18006689
